item_url,title,sku,price,category,image,description
https://www.profile-education.co.uk/beechwood-round-tables,Beechwood Round Tables,ROUTAB1TOPV3,£245.90,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/ROUTAB1TOPV3-wisdom-beechwood-trapezoid-table-age-3-4-lifestyle-girl-1.jpg,"Materials:

Manufactured from impact resistant solid beech wood legs with 18mm plywood table top. Tested to meet EN1729 safety and dimension requirements.

Overall dimensions (H x W x D):

Age range: 3 to 4

460 x 1000 x 1000 mm

Age range: 4 to 6

530 x 1000 x 1000 mm

Age range: 6 to 8

580 x 1000 x 1000 mm"
https://www.profile-education.co.uk/beechwood-rectangular-tables,Beechwood Rectangular Tables,RECTAB2TOPV3,£194.65,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/RECTTAB1TOPV3-wisdom-beechwood-rectangle-table-age-3-4-lifestyle-girl-17.jpg,"Materials:

Manufactured from impact resistant solid beech wood legs with 18mm plywood table top. Tested to meet EN1729 safety and dimension requirements.

Overall dimensions (H x W x D):

Age range: 3 to 4

460 x 1200 x 600 mm

Age range: 4 to 6

530 x 1200 x 600 mm

Age range: 6 to 8

580 x 1200 x 600 mm"
https://www.profile-education.co.uk/beechwood-reading-sofa-cushions,Beechwood Reading Sofa Cushions,KB7-PRN04A-100,£66.68,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB7-PRN04A-101-wisdom-beechwood-reading-sofa-cushions-blue-lifestyle-children-1.jpg,"Materials:

Made from hard wearing polyester and thick foam. Tested to meet relevant safety standards.

Overall dimensions (H x W x D):

50 x 910 x 510 mm

Age range: 3+"
https://www.profile-education.co.uk/beechwood-reading-sofa-cushion-set,Beechwood Reading Sofa & Cushion Set,KB7-PRN04-41BLUE,£344.43,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB7-PRN04-41BLUE-wisdom-beechwood-reading-sofa-with-cushions-blue-set-lifestyle-boy-1.jpg,"Materials:

Manufactured from high quality 20mm natural solid beechwood. Tested to relevant safety standards.

Overall dimensions (H x W x D):

460 x 920 x 450 mm

Age range: 3+"
https://www.profile-education.co.uk/beechwood-reading-sofa,Beechwood Reading Sofa,KB7-PRN04-41,£283.03,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB7-PRN04-41-zona-reading-sofa-product.jpg,"Materials:

Manufactured from high quality 20mm natural solid beechwood. Tested to relevant safety standards.

Overall dimensions (H x W x D):

460 x 920 x 450 mm

Age range: 3+"
https://www.profile-education.co.uk/just-for-toddlers-kitchen-set,Just For Toddlers Kitchen Set,KB1-YF005SET,£442.58,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-YF005-30SET-just-for-toddler-kitchen-set-classroom-and-child.jpg,"Materials:

Manufactured from a combination of 25mm (tops) and 16mm maple melamine board and supplied flat packed for simple self-assembly. Safety tested to relevant standards.

Overall dimensions (H x W x D):

Maximum H600 x 1760 x 400 mm

Age range: 1 to 3"
https://www.profile-education.co.uk/just-for-toddlers-fridge,Just For Toddlers Fridge,KB1-YF004-30,£120.99,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-YF004-30-just-for-toddler-fridge-classroom-with-child.jpg,"Materials:

Manufactured from a combination of 25mm (tops) and 16mm maple melamine board and supplied flat packed for simple self-assembly. Safety tested to relevant standards.

Overall dimensions (H x W x D):

600 x 440 x 400 mm

Age range: 1 to 3"
https://www.profile-education.co.uk/just-for-toddlers-chair,Just for Toddlers Chair,KB5-YFM22-78,£70.59,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB5-YFM22-78-just-for-toddler-toddlers-chair-210mm-product.jpg,"Materials:

Manufactured from a metal frame with impact resistant powder coating and a durable polypropylene seat. Tested to meet EN1729 safety and dimension requirements

Overall dimensions (H x W x D):

445 x 350 x 420 mm

Age range: 2+"
https://www.profile-education.co.uk/foldable-rocket-slide,Foldable Rocket Slide,LHT191GG,£62.48,Early Years,https://www.profile-education.co.uk/user/products/large/LHT191GG-green-and-gold-rocket-slide-lifestyle-LR-RGB.jpg,"Materials:

Made from high density polyethylene materials which are characterised by a high strength to density ratio. Materials are also environmentally friendly. Safety tested to latest standards.

Overall dimensions (H x W x D):

645 x 330 x 1250mm

Age range: 2+"
https://www.profile-education.co.uk/fire-station,Fire Station,YJ001316,£764.97,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/YJ001316-fire-station-product.jpg,"Materials:

Manufactured from a combination of galvanised steel, compact grade waterproof laminate and rust resilient powder coating. Safety tested to relevant standards.

Overall dimensions (H x W x D):

1200 x 680 x 1030 mm

Age range: 3 to 11"
